Decoded_Decimal
2055
2057
2060
2058
2056
2058
2061
2059
2059
2060
2064
2061
2058
2059
2062
2061
2058
2058
2060
2060
2055
2057
2059
2057
2055
2057
2060
2056
2054
2057
2060
2059
2058
2058
2062
2060
2057
2060
2060
2059
2056
2057
2059
2056
2056
2057
2058
2057
2054
2057
2058
2058
2055
2058
2061
2059
2057
2059
2062
2060
2058
2060
2063
2058
2058
2059
2060
2058
2055
2058
2060
2058
2055
2056
2060
2058
2056
2058
2059
2058
2056
2058
2062
2059
2057
2058
2060
2059
2057
2057
2060
2058
2056
2057
2060
2057
2055
2056
2058
2056
2055
2057
2060
2057
2056
2057
2062
2058
2057
2059
2062
2060
2057
2060
2061
2059
2058
2058
2061
2059
2055
2057
2059
2057
2055
2057
2059
2057
2056
2057
2060
2058
2056
2059
2060
2060
2057
2058
2062
2059
2057
2058
2060
2057
2055
2057
2059
2056
2054
2056
2061
2056
2056
2056
2061
2059
2058
2058
2063
2061
2059
2059
2063
2060
2060
2059
2063
2058
2056
2057
2060
2058
2056
2057
2059
2056
2055
2056
2060
2058
2057
2059
2060
2059
2058
2059
2060
2059
2056
2057
2061
2057
2055
2057
2059
2058
2055
2057
2059
2057
2055
2057
2059
2058
2057
2058
2061
2060
2059
2060
2062
2062
2057
2059
2061
2059
2056
2058
2060
2058
2056
2056
2060
2057
2055
2056
2059
2057
2056
2058
2061
2059
2057
2059
2062
2058
2058
2058
2060
2059
2056
2057
2060
2058
2055
2057
2060
2056
2055
2058
2059
2056
2056
2058
2060
2059
2056
2058
2062
2060
2059
2060
2062
2060
2058
2059
2061
2058
2055
2057
2059
2057
2055
2057
2060
2057
2054
2056
2060
2058
2056
2058
2061
2059
2057
2058
2061
2059
2056
2057
2060
2058
2054
2057
2060
2057
2054
2055
2058
2057
2055
2057
2060
2058
2056
2059
2061
2060
2058
2061
2062
2060
2058
2059
2062
2059
2056
2058
2060
2057
2056
2057
2059
2057
2055
2056
2058
2056
2057
2056
2060
2060
2057
2058
2061
2059
2057
2058
2060
2058
2055
2058
2059
2058
2055
2056
2058
2056
2056
2056
2060
2057
2056
2058
2060
2059
2057
2059
2061
2060
2057
2059
2062
2061
2056
2059
2060
2059
2055
2058
2060
2057
2054
2057
2059
2056
2054
2057
2060
2057
2056
2059
2060
2058
2056
2059
2062
2060
2055
2058
2060
2057
2055
2056
2058
2057
2053
2057
2058
2057
2054
2055
2060
2056
2055
2058
2061
2059
2058
2059
2061
2060
2058
2059
2062
2059
2056
2058
2060
2057
2054
2057
2059
2058
2055
2056
2060
2056
2055
2058
2060
2059
2057
2058
2060
2060
2055
2058
2062
2059
2056
2058
2059
2057
2054
2057
2057
2057
2054
2057
2058
2057
2055
2058
2060
2059
2056
2059
2063
2060
2058
2060
2062
2060
2057
2058
2060
2058
2056
2058
2059
2057
2055
2057
2059
2055
2055
2056
2060
2058
2056
2058
2062
2059
2057
2059
2061
2059
2056
2058
2060
2057
2054
2056
2060
2056
2054
2057
2058
2057
2055
2057
2059
2058
2056
2057
2062
2060
2058
2060
2063
2059
2058
2060
2062
2059
2056
2058
2060
2058
2055
2057
2060
2057
2054
2057
2059
2057
2055
2056
2060
2058
2057
2059
2062
2061
2058
2058
2060
2058
2056
2057
2059
2057
2055
2058
2058
2057
2055
2056
2059
2056
2056
2057
2060
2058
2057
2059
2063
2060
2058
2059
2063
2060
2058
2058
2060
2059
2056
2057
2060
2057
2055
2057
2060
2057
2054
2056
2061
2059
2057
2060
2061
2059
2058
2059
2061
2058
2056
2058
2061
2058
2056
2056
2060
2057
2056
2056
2060
2057
2056
2057
2060
2058
2056
2060
2060
2060
2057
2060
2061
2060
2058
2060
2062
2060
2057
2059
2061
2058
2054
2057
2059
